HUM_PCT,TEMP_C,SMOIST_G_CM3,ET_MM,CWD_M3_HA
57.5,25,0.067,68.5,909
52,29,0.069,91.5,1152
51,33.8,0.061,119.6,1785
39,40.8,0.059,155.1,2661
30.5,41.7,0.058,194.4,3315
27.5,43.1,0.059,216.4,3453
37.5,41.3,0.057,209,2976
46,39.3,0.057,200,2820
44,37,0.058,169.2,2208
44,29.4,0.062,127.7,1740
56,25.13,0.061,90.3,1293
58,22.9,0.066,67.4,903
61,24.9,0.07,77.4,909
60,29.2,0.069,99.2,1152
58,33.8,0.067,129.2,1785
36.5,39.3,0.065,166,2661
35.5,44.2,0.066,208.1,3315
36.5,41.2,0.06,226.2,3453
45,41.7,0.058,213.8,2976
55.5,38.8,0.064,191.5,2820
51.5,37.1,0.058,163.5,2208
55.5,29.5,0.064,130.3,1740
60,24.8,0.064,98.1,1293
65.5,24,0.063,74.4,903
68.5,24.07,0.066,81.1,909
60.5,30.5,0.071,104.6,1152
54,32.4,0.063,133.7,1785
43,39.1,0.065,168,2661
38.5,42.8,0.066,194.3,3315
34,43.4,0.061,212.6,3453
38.5,41.2,0.061,206.7,2976
52.5,38.2,0.058,197.9,2820
50.5,36.9,0.054,174.7,2208
56,31,0.055,134.8,1740
53,23.2,0.062,102.7,1293
62.5,21.5,0.06,79.2,903
63.5,22.7,0.065,75.7,909
56.5,28.1,0.067,98.4,1152
47,33.7,0.059,127.5,1785
46.5,38.1,0.064,163,2661
44.5,42.1,0.062,198.9,3315
41.5,41.7,0.062,218.4,3453
47.5,42.4,0.057,209.8,2976
48,39.2,0.059,196.5,2820
55,35.1,0.056,169.1,2208
55.5,29,0.06,130.9,1740
66.5,24.4,0.064,97,1293
58.5,24,0.065,73.7,903
